file,page,total_pages,province,constituency,district,sub_district,station_range,vote_type,form_type,ocr_vote_type,ocr_constituency,ocr_station_no,ocr_village_no,ocr_sub_district,ocr_district,registered_voters,turnout,ballots_received,valid_ballots,invalid_ballots,no_vote_ballots,remaining_ballots,total_votes,candidates_count,candidates_json
เขตเลือกตั้งที่ 6\อำเภอบ้านแท่น\แบ่งเขต\ต.บ้านเต่า-แบ่งเขต-หน่วยที่ 1-16.pdf,1,32,ชัยภูมิ,6,บ้านแท่น,บ้านเต่า,1-16,แบ่งเขต,สส.5/18,แบ่งเขต,,,,บ้านนา,บ้านแท่น,9,9,221,222,223,23,240,176,7,"[{""number"": 1, ""name"": ""นายแทนยุทธพงษ์ วงษ์วัชรวานิช"", ""party"": ""ประชาชน 14."", ""votes"": null}, {""number"": 2, ""name"": ""นายเสถียรพงศ์ เที่ยงตรง"", ""party"": ""ประชาธิปัตย์"", ""votes"": null}, {""number"": 3, ""name"": ""นางสาวบัวพันธ์ ผ่อนจรุง"", ""party"": ""ประชาธิปไตยใหม่ 1"", ""votes"": null}, {""number"": 4, ""name"": ""นายรุ่งโรจน์ ภูศักดิ์"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": null}, {""number"": 5, ""name"": ""นายเชวงศักดิ์"", ""party"": ""เร่งไพบูลย์วงษ์"", ""votes"": 131}, {""number"": 6, ""name"": ""นางสาววิเมลือง แก้วศิริ"", ""party"": ""เพื่อไทย"", ""votes"": null}, {""number"": 27, ""name"": ""นายสากล มาชัยภูมิ"", ""party"": ""เศรษฐกิจ"", ""votes"": null}]"
เขตเลือกตั้งที่ 6\อำเภอบ้านแท่น\แบ่งเขต\ต.บ้านเต่า-แบ่งเขต-หน่วยที่ 1-16.pdf,2,32,ชัยภูมิ,6,บ้านแท่น,บ้านเต่า,1-16,แบ่งเขต,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 6\อำเภอบ้านแท่น\แบ่งเขต\ต.บ้านเต่า-แบ่งเขต-หน่วยที่ 1-16.pdf,3,32,ชัยภูมิ,6,บ้านแท่น,บ้านเต่า,1-16,แบ่งเขต,สส.5/18,แบ่งเขต,6,2,,บ้าน,ประเ,,,221,222,223,23,,321,7,"[{""number"": 1, ""name"": ""นายเสถียรพงศ์ เที่ยงตรง"", ""party"": ""ประชาธิปัตย์"", ""votes"": 3}, {""number"": 2, ""name"": ""นายแทนยุทธพงษ์ วงษ์วัชรวานิช"", ""party"": ""ประชาชน .38 . ( 12"", ""votes"": null}, {""number"": 3, ""name"": ""นางสาวบัวพันธ์ ผ่อนจรุง"", ""party"": ""ประชาธิปไตยใหม่ .......... ( 4"", ""votes"": null}, {""number"": 4, ""name"": ""นายรุ่งโรจน์ ภูศักดิ์"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 40}, {""number"": 5, ""name"": ""นายเชวงศักดิ์ เร่งไพบูลย์วงษ์"", ""party"": ""ภูมิใจไทย"", ""votes"": 123}, {""number"": 6, ""name"": ""นางสาววิเมลือง แก้วศิริ"", ""party"": ""เพื่อไทย"", ""votes"": 3}, {""number"": 7, ""name"": ""นายสากล มาชัยภูมิ"", ""party"": ""เศรษฐกิจ"", ""votes"": null}]"
เขตเลือกตั้งที่ 6\อำเภอภูเขียว\แบ่งเขต\ทต.ผักปัง-แบ่งเขต-หน่วยที่ 1-8.pdf,1,16,ชัยภูมิ,6,ภูเขียว,ผักปัง,1-8,แบ่งเขต,สส.5/18,แบ่งเขต,6,1,1,าล,ขต,52,223,500,22,223,42,,3015,7,"[{""number"": 1, ""name"": ""นายเสถียรพงศ์ เที่ยงตรง"", ""party"": ""ประชาธิปัตย์"", ""votes"": null}, {""number"": 2, ""name"": ""นายรุ่งโรจน์ ภูศักดิ์"", ""party"": null, ""votes"": null}, {""number"": 3, ""name"": ""นางสาวบัวพันธ์"", ""party"": ""ผ่อนจรุง"", ""votes"": null}, {""number"": 4, ""name"": ""นางสาววิเมลือง แก้วศิริ"", ""party"": ""รวมไทยสร้างชาติ |"", ""votes"": 194}, {""number"": 5, ""name"": ""นายเชวงศักดิ์ เร่งไพบูลย์วงษ์"", ""party"": null, ""votes"": null}, {""number"": 7, ""name"": ""นายสากล มาชัยภูมิ"", ""party"": ""เศรษฐกิจ"", ""votes"": null}, {""number"": 10, ""name"": ""นายแทนยุทธพงษ์ วงษ์วัชรวานิช"", ""party"": ""ประชาชน"", ""votes"": null}]"
เขตเลือกตั้งที่ 6\อำเภอภูเขียว\แบ่งเขต\ทต.ผักปัง-แบ่งเขต-หน่วยที่ 1-8.pdf,2,16,ชัยภูมิ,6,ภูเขียว,ผักปัง,1-8,แบ่งเขต,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 6\อำเภอภูเขียว\แบ่งเขต\ทต.ผักปัง-แบ่งเขต-หน่วยที่ 1-8.pdf,3,16,ชัยภูมิ,6,ภูเขียว,ผักปัง,1-8,แบ่งเขต,สส.5/18,แบ่งเขต,6,,,,ขต,584,21,221,222,223,23,260,368,7,"[{""number"": 1, ""name"": ""นายเสถียรพงศ์ เที่ยงตรง"", ""party"": ""ประชาธิปัตย์"", ""votes"": null}, {""number"": 2, ""name"": ""นายแทนยุทธพงษ์ วงษ์วัชรวานิช"", ""party"": ""ประชาชน"", ""votes"": 69}, {""number"": 3, ""name"": ""นางสาวบัวพันธ์ ผ่อนจรุง"", ""party"": ""ประชาธิปไตยใหม่"", ""votes"": null}, {""number"": 4, ""name"": ""นายรุ่งโรจน์ ภูศักดิ์"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": null}, {""number"": 5, ""name"": ""นายเชวงศักดิ์ เร่งไพบูลย์วงษ์"", ""party"": ""ภูมิใจไทย"", ""votes"": null}, {""number"": 6, ""name"": ""นางสาววิเมลือง แก้วศิริ"", ""party"": ""เพื่อไทย"", ""votes"": null}, {""number"": 7, ""name"": ""นายสากล มาชัยภูมิ"", ""party"": ""เศรษฐกิจ"", ""votes"": null}]"
เขตเลือกตั้งที่ 6\06-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,1,32,ชัยภูมิ,6,,,,บัญชีรายชื่อ,สส.5/17,บัญชีรายชื่อ,2,,,,,,,,6,23,,,,0,[]
เขตเลือกตั้งที่ 6\06-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,2,32,ชัยภูมิ,6,,,,บัญชีรายชื่อ,สส.5/17,บัญชีรายชื่อ,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 6\06-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,3,32,ชัยภูมิ,6,,,,บัญชีรายชื่อ,สส.5/17,บัญชีรายชื่อ,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 4\อำเภอหนองบัวแดง\แบ่งเขต\ต.นางแดด-แบ่งเขต-หน่วยที่ 1-23.pdf,1,46,ชัยภูมิ,4,หนองบัวแดง,นางแดด,1-23,แบ่งเขต,สส.5/18,แบ่งเขต,4,,,าล,,4,4,221,222,223,23,24,397,8,"[{""number"": 1, ""name"": ""นายวรฉัตร พงศ์ธีระดุลย์"", ""party"": ""สังกัด"", ""votes"": null}, {""number"": 2, ""name"": ""นายสิทธิพล"", ""party"": ""ภูธรณ์"", ""votes"": null}, {""number"": 3, ""name"": ""นางสาวน้ำฝน หอมชาลี"", ""party"": ""ประชาชน"", ""votes"": 0}, {""number"": 4, ""name"": ""นายณรงค์ฤทธิ์ มอบสันเทียะ"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": null}, {""number"": 5, ""name"": ""นางสาวสุชาดา ซาง แทนทรัพย์"", ""party"": ""ภูมิใจไทย"", ""votes"": 266}, {""number"": 6, ""name"": ""นางสาวกาญจนา จังหวะ"", ""party"": ""กล้าธรรม"", ""votes"": null}, {""number"": 7, ""name"": ""นางสาวนงค์คราญ ฤๅชาญ"", ""party"": ""ประชาธิปไตยใหม่"", ""votes"": null}, {""number"": 8, ""name"": ""นายชาติชาย อาจสนาม"", ""party"": ""เศรษฐกิจ"", ""votes"": null}]"
เขตเลือกตั้งที่ 4\อำเภอหนองบัวแดง\แบ่งเขต\ต.นางแดด-แบ่งเขต-หน่วยที่ 1-23.pdf,2,46,ชัยภูมิ,4,หนองบัวแดง,นางแดด,1-23,แบ่งเขต,สส.5/18,,,,,,,,,,,,,,,0,[]
